Prediction for the average column is 0.06671779609279609,column_name,aveage_val,initval,initval_predict_prob,finalval,finalval_predict_prob,final_minus_init
0,cc.emp.nojob,0.044998777207141114,0,0.06671779609279609,1,0.07573475135975136,0.00901695526695527
1,cc.CC16_304,0.9396806189703274,0.9396806189703274,0.06671779609279609,1.9396806189703275,0.10134672345198657,0.03462892735919049
2,cc.faminc,0.9330832316116225,0.9330832316116225,0.06671779609279609,1.9330832316116227,0.06817811355311354,0.0014603174603174535
3,crashpc,0.8587735892549034,0.8587735892549034,0.06671779609279609,1.8587735892549033,0.06416224053724054,-0.002555555555555547
4,rustpc,0.7205782078407057,0.7205782078407057,0.06671779609279609,1.7205782078407057,0.056496392496392496,-0.01022140359640359
5,job.uer,0.961365019108407,0.961365019108407,0.06671779609279609,1.961365019108407,0.10369037906537905,0.03697258297258296
6,econ.mhi,0.9709426336017624,0.9709426336017624,0.06671779609279609,1.9709426336017624,0.11110288322788323,0.04438508713508714
7,econ.hhpov.p,0.9132809117572209,0.9132809117572209,0.06671779609279609,1.913280911757221,0.0768476662226662,0.010129870129870114
8,taa.wrks.disc95.pcpy,0.6346131510264494,0.6346131510264494,0.06671779609279609,1.6346131510264494,0.07732493894993894,0.010607142857142857
9,cc.CC16_305_2,0.1153093665932991,0,0.06671779609279609,1,0.06816224053724053,0.0014444444444444426
10,mort.ucd.despair.disc95.pdpy,0.9634906753592014,0.9634906753592014,0.06671779609279609,1.9634906753592014,0.07148763736263736,0.004769841269841271
11,cc.immviewsum,0.8211144375890463,0.8211144375890463,0.06671779609279609,1.8211144375890465,0.107362123987124,0.04064432789432791
12,cc.raceviewsum,0.9361119104234593,0.9361119104234593,0.06671779609279609,1.9361119104234592,0.238348593400064,0.17163079730726793
13,cc.CC16_307,0.9990904265627534,0.9990904265627534,0.06671779609279609,1.9990904265627534,0.09976619214119213,0.033048396048396045
14,cc.CC16_351B,0.5074590364392272,0.0,0.05615610778110778,1.0,0.06671779609279609,0.010561688311688307
15,cc.Age,1.0342216458421511,1.0342216458421511,0.06671779609279609,2.034221645842151,0.11081830669330667,0.04410051060051058
16,cc.Sex,0.5500366837857666,0,0.08318244255744255,1,0.06671779609279609,-0.01646464646464646
17,cc.BlackDum,0.09728539985326486,0,0.06671779609279609,1,0.05170985958485959,-0.015007936507936498
18,cc.WhiteDum,0.7697481046710687,0,0.0237281746031746,1,0.06671779609279609,0.04298962148962149
19,cc.maxeduc.4yr,0.2495720224993886,0,0.06671779609279609,1,0.07417292429792428,0.0074551282051281975
20,cc.maxeduc.hs,0.22005380288579116,0,0.06671779609279609,1,0.06276144688644689,-0.0039563492063491995
21,cc.isimmigrant,0.1516996820738567,0,0.06671779609279609,1,0.058523351648351644,-0.008194444444444442
22,cc.child18,0.23171924675959893,0.0,0.06671779609279609,1.0,0.06000992063492063,-0.006707875457875455
23,cc.union,0.28241623868916604,0.0,0.06671779609279609,1.0,0.0697416056166056,0.003023809523809512
24,cc.newsint,0.7081982224623008,0.7081982224623008,0.06671779609279609,1.708198222462301,0.06448702686202686,-0.0022307692307692306
25,cc.Ideo7,0.9171022870270454,0.9171022870270454,0.06671779609279609,1.9171022870270455,0.3720760073969792,0.3053582113041831
26,cc.EvanProt,0.2767913915382734,0.0,0.06671779609279609,1.0,0.06436584249084248,-0.002351953601953602
27,cc.Catholic,0.22325752017608216,0.0,0.06671779609279609,1.0,0.07235099622599622,0.005633200133200136
28,cc.Religiosity,0.9199637983670323,0.9199637983670323,0.06671779609279609,1.9199637983670323,0.10448758186258185,0.03776978576978576
29,demo.popdense,0.2602228693703616,0.2602228693703616,0.06671779609279609,1.2602228693703617,0.06589438339438339,-0.0008234126984126983
30,cc.RepDum,0.2728784543898264,0.0,0.06671779609279609,1.0,0.5297040366851109,0.4629862405923148
31,cc.IndDum,0.2607972609439961,0.0,0.06671779609279609,1.0,0.21359599649576427,0.14687820040296817
